Année;Niveau;Type;Ancien Code Officiel;Code Courant Officiel
2022;REG;région;01;01
2022;REG;région;27;27
2022;REG;collectivité d'outre-mer;988;988
2022;REG;région;28;28
2022;REG;collectivité d'outre-mer;989;989
2022;REG;région;02;02
2022;REG;région;03;03
2022;REG;région;74;75
2022;REG;région;41;44
2022;REG;région;52;52
2022;REG;région;44;44
2022;REG;région;83;84
2022;REG;région;25;28
2022;REG;région;26;27
2022;REG;région;76;76
2022;REG;région;32;32
2022;REG;collectivité d'outre-mer;984;984
2022;REG;région;22;32
2022;REG;région;11;11
2022;REG;région;42;44
2022;REG;région;54;75
2022;REG;région;23;28
2022;REG;région;31;32
2022;REG;région;72;75
2022;REG;région;24;24
2022;REG;région;43;27
2022;REG;région;73;76
2022;REG;région;93;93
2022;REG;collectivité d'outre-mer;978;978
2022;REG;région;53;53
2022;REG;région;84;84
2022;REG;collectivité d'outre-mer;975;975
2022;REG;région;06;06
2022;REG;collectivité d'outre-mer;987;987
2022;REG;collectivité d'outre-mer;986;986
2022;REG;région;94;94
2022;REG;région;75;75
2022;REG;région;21;44
2022;REG;région;82;84
2022;REG;collectivité d'outre-mer;977;977
2022;REG;région;04;04
2022;REG;région;91;76
